action,owner,repo,sub_path,github_url,marketplace_url,usage_count,workflow_count,tag_versions,sha_pinned_versions,is_sha_pinned,is_mixed_pinning,example_workflows
planetoftheweb/copy-to-branches,planetoftheweb,copy-to-branches,,https://github.com/planetoftheweb/copy-to-branches,https://github.com/marketplace/actions/copy-to-branches,4,4,v1.2,0,False,False,LinkedInLearning/advanced-kotlin-database-development-2500683; LinkedInLearning/treating-go-as-an-object-oriented-language-4401616; LinkedInLearning/advanced-kotlin-database-development-2500683
polarityio/polarity-github-actions/.github/workflows/release-server-versions-for-int-store.yml,polarityio,polarity-github-actions,.github/workflows/release-server-versions-for-int-store.yml,https://github.com/polarityio/polarity-github-actions,,4,4,master,0,False,False,polarityio/google-custom-search; polarityio/urlscan; polarityio/urlscan
cloudposse-terraform-components/.github/.github/workflows/shared-terraform-component.yml,cloudposse-terraform-components,.github,.github/workflows/shared-terraform-component.yml,https://github.com/cloudposse-terraform-components/.github,,4,4,main,0,False,False,cloudposse-terraform-components/aws-audit-manager; cloudposse-terraform-components/aws-glue-connection; cloudposse-terraform-components/aws-sftp
Logius-standaarden/Automatisering/.github/workflows/publish.yml,Logius-standaarden,Automatisering,.github/workflows/publish.yml,https://github.com/Logius-standaarden/Automatisering,,4,4,main,0,False,False,Geonovum/uml-datatypen; Geonovum/3d-tiling; Geonovum/dso-cim-bhkv
ls-lint/action,ls-lint,action,,https://github.com/ls-lint/action,https://github.com/marketplace/actions/action,4,4,v2.2.3,0,False,False,MIT-Emerging-Talent/ET6-MITx-Recitation-Group12; MIT-Emerging-Talent/ET6-MITx-Recitations_Group30; MIT-Emerging-Talent/ET6-MITx-Recitations_Group30
nosborn/github-action-markdown-cli,nosborn,github-action-markdown-cli,,https://github.com/nosborn/github-action-markdown-cli,https://github.com/marketplace/actions/github-action-markdown-cli,4,4,v3.3.0,0,False,False,MIT-Emerging-Talent/ET6-MITx-Recitation-Group12; MIT-Emerging-Talent/ET6-MITx-Recitations_Group30; MIT-Emerging-Talent/ET6-MITx-Recitations_Group30
Audioreach/audioreach-workflows/.github/workflows/loading.yml,Audioreach,audioreach-workflows,.github/workflows/loading.yml,https://github.com/Audioreach/audioreach-workflows,,3,3,master,0,False,False,AudioReach/audioreach-graphservices; AudioReach/audioreach-conf; AudioReach/audioreach-pulseaudio-plugin
Audioreach/audioreach-workflows/.github/workflows/process_image.yml,Audioreach,audioreach-workflows,.github/workflows/process_image.yml,https://github.com/Audioreach/audioreach-workflows,,3,3,master,0,False,False,AudioReach/audioreach-graphservices; AudioReach/audioreach-conf; AudioReach/audioreach-pulseaudio-plugin
rossjrw/pr-preview-action,rossjrw,pr-preview-action,,https://github.com/rossjrw/pr-preview-action,https://github.com/marketplace/actions/pr-preview-action,3,3,v1,0,False,False,RedHatQuickCourses/devspaces-plugins; RedHatQuickCourses/devspaces-plugins; RedHatQuickCourses/rcb-demo-1
actions/download-artifact,actions,download-artifact,,https://github.com/actions/download-artifact,https://github.com/marketplace/actions/download-artifact,4,3,v4,2,True,True,repo-helper/hatch-requirements-txt; falcosecurity/libs; Geonovum/geooptijd
